1,2,3,trial_num,map,A,B,C,unique_id,wrong_attempts
-1,-1,-1,17,ND_NX_1,0.49,0.88,0.17,DPeOAnU,2
0.47,0.38,0.76,18,NX_DX_0,0.2,0.51,0.7,DPeOAnU,2
0.38,0.54,0.14,19,NX_UN_0,0.38,0.81,0.07,DPeOAnU,2
0.17,0.58,0.56,20,NX_NX_0,0.6,0.03,0.76,DPeOAnU,2
0.09,0.47,0.8,21,PX_DX_0,0.19,0.38,0.88,DPeOAnU,2
0.5,0.47,-1,22,UN_PX_0,0.72,0.03,0.42,DPeOAnU,2
0.77,0.48,0.15,23,PX_UN_0,0.46,0.85,0.05,DPeOAnU,2
0.44,0,0.54,1,PX_DX_0,0,0,1,4Xv2EFc,1
-1,-1,-1,2,ND_DX_1,0.88,0,0.1,4Xv2EFc,1
0.13,0.84,-1,3,DX_PX_0,0.49,0.5,0,4Xv2EFc,1
-1,-1,-1,4,ND_DX_0,0.85,0,0.12,4Xv2EFc,1
0.89,0.1,-1,5,DX_UN_0,0.48,0.48,0.48,4Xv2EFc,1
0.49,0.49,-1,6,UN_UN_0,0.49,0.49,0.49,4Xv2EFc,1
0.49,0.49,-1,7,UN_DX_0,0,0,0.96,4Xv2EFc,1
-1,-1,-1,8,ND_PX_0,0.48,0,0.48,4Xv2EFc,1
-1,-1,-1,9,ND_NX_0,0.5,0,0.5,4Xv2EFc,1
0.49,0.49,0.04,10,PX_UN_0,0.57,0.33,0.57,4Xv2EFc,1
0.47,0.53,0.05,11,PX_PX_0,0.4,0.05,0.61,4Xv2EFc,1
0.05,0.5,0.5,12,NX_NX_0,0.48,0.04,0.48,4Xv2EFc,1
0.47,0.47,-1,13,UN_NX_0,0.02,0.47,0.47,4Xv2EFc,1
0.92,0.06,-1,14,DX_DX_0,0.03,0.03,0.94,4Xv2EFc,1
-1,-1,-1,15,ND_UN_0,0.5,0.5,0.5,4Xv2EFc,1
-1,-1,-1,16,ND_NX_1,0.49,0.01,0.49,4Xv2EFc,1
-1,-1,-1,17,ND_PX_1,0.49,0.49,0,4Xv2EFc,1
0.49,0.49,-1,18,UN_PX_0,0.49,0,0.49,4Xv2EFc,1
