MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,59,0.0005433601912014158,2,2,2,0,2,0,0,2,0,2,2,3,1,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0014702687526626545,2,2,0,2,2,0,0,2,0,2,2,1,3,3,3,1,1,3,3,1,3,3,3
11,11,59,6.392472837663716e-05,2,2,0,2,2,0,0,2,2,2,0,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.00016326375627393125,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,3,3,3,1,1
11,11,59,0.0006392472837663715,2,2,2,2,0,0,0,0,3,3,3,1,2,2,2,1,1,3,3,3,1,3,3
11,11,59,0.000647014138264133,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,3,1,3,3,1,1
11,11,59,0.0004155107344481415,2,0,2,2,2,0,0,3,0,3,3,2,2,2,1,1,1,3,3,3,1,3,3
11,11,59,0.0059449997390272555,2,2,0,2,2,0,0,0,2,2,2,3,1,3,3,1,1,1,3,3,3,3,3
11,11,59,0.00031962364188318576,2,2,0,2,2,0,0,2,0,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.0031323116904552204,2,2,0,2,2,0,0,2,0,2,2,1,3,3,3,1,1,3,1,3,3,3,3
11,11,59,6.392472837663716e-05,2,2,2,2,0,0,0,2,2,0,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.0006712096479546901,2,2,2,2,0,0,0,2,0,2,2,3,1,3,3,1,1,3,1,3,3,3,3
11,11,59,0.0006392472837663715,2,2,0,2,2,0,0,3,3,0,3,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,0.0019177418512991145,2,0,2,2,2,0,0,2,0,2,2,3,3,1,3,1,1,3,1,3,3,3,3
11,11,59,0.0005113978270130972,2,2,2,0,2,0,0,0,2,2,2,3,1,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0033068901236518113,0,0,0,0,0,0,2,0,2,2,3,1,1,1,1,1,1,3,3,1,1
11,11,59,0.0016940053019808845,2,2,0,2,2,0,0,2,0,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,59,0.00022373654931823002,2,2,2,0,2,0,0,3,3,3,0,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,3.196236418831858e-05,2,2,2,2,0,0,0,2,2,2,0,3,3,1,3,1,1,3,3,1,3,3,3
11,11,59,0.0017843309431770722,0,0,0,0,0,0,2,2,2,0,1,1,3,1,1,1,1,3,3,1,1
11,11,59,0.00031962364188318576,2,2,0,2,2,0,0,3,0,3,3,2,1,2,2,1,1,3,3,1,3,3,3
11,11,59,0.00015981182094159288,2,2,2,0,2,0,0,3,0,3,3,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,9.588709256495573e-05,2,2,0,2,2,0,0,3,3,0,3,2,1,2,2,1,1,3,3,1,3,3,3
11,11,59,0.000831021468896283,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.00022373654931823002,2,2,2,0,2,0,0,2,2,0,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,59,0.00019177418512991145,2,2,2,2,0,0,0,3,0,3,3,2,1,2,2,1,1,3,3,1,3,3,3
11,11,59,0.005401639547825839,2,2,0,2,2,0,0,0,2,2,2,1,3,3,3,1,1,3,1,3,3,3,3
11,11,59,0.00035158600607150433,2,2,0,2,2,0,0,3,3,3,0,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,0.006949928431472195,0,0,0,0,0,0,0,2,2,2,3,1,1,1,1,1,1,3,3,1,1
11,11,59,0.00035158600607150433,2,2,2,2,0,0,0,2,2,2,0,3,3,1,3,1,1,1,3,3,3,3,3
11,11,59,0.0002876612776948672,2,0,2,2,2,0,0,2,2,2,0,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.0016300805736042473,2,0,2,2,2,0,0,3,3,0,3,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.0003835483702598229,2,2,2,0,2,0,0,2,0,2,2,3,1,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0032601611472084947,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,59,0.0012465322033444245,2,2,2,2,0,0,0,0,2,2,2,3,3,1,3,1,1,1,3,3,3,3,3
11,11,59,0.000607284919578053,2,0,2,2,2,0,0,2,0,2,2,3,3,1,3,1,1,3,3,1,3,3,3
11,11,59,3.196236418831858e-05,2,2,2,0,2,0,0,3,0,3,3,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.0006392472837663715,2,2,0,2,2,0,0,3,3,3,0,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,0.00044747309863646005,2,2,0,2,2,0,0,2,0,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,59,0.00015981182094159288,2,2,0,2,2,0,0,3,0,3,3,2,2,1,2,1,1,3,3,3,1,3,3
11,11,59,0.00035158600607150433,2,2,2,0,2,0,0,2,0,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,59,0.0015981182094159288,2,0,2,2,2,0,0,3,0,3,3,1,2,2,2,1,1,3,3,1,3,3,3
11,11,59,0.0008949461972729201,2,2,0,2,2,0,0,0,3,3,3,2,1,2,2,1,1,3,3,1,3,3,3
11,11,59,0.00015981182094159288,2,2,0,2,2,0,0,3,3,3,0,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.00019177418512991145,2,2,2,2,0,0,0,3,0,3,3,2,2,2,1,1,1,3,1,3,3,3,3
11,11,59,0.0009269085614612387,2,2,2,0,2,0,0,0,2,2,2,3,1,3,3,1,1,3,3,3,1,3,3
