MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21
11,11,70,0.0013837761336180023,16,27,38,49,48,59,70,69,80,79,90,79,80,81,82,71,60,49,38,27,16,5
11,11,70,0.0003223156318234576,16,27,26,37,48,59,70,69,80,91,90,79,68,57,58,47,48,37,38,27,16,5
11,11,70,0.0007706494054124776,16,27,38,49,60,59,70,81,92,91,90,91,80,69,58,47,48,49,38,27,16,5
11,11,70,0.001095388463039119,16,27,38,49,60,71,70,69,80,91,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,69,80,79,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00038774812850942266,16,27,38,49,60,59,70,69,80,79,90,79,80,69,58,59,48,49,38,27,16,5
11,11,70,0.0007706494054124776,16,27,38,49,48,59,70,69,68,79,90,79,68,57,46,47,36,37,38,27,16,5
11,11,70,0.0007318745925615353,16,27,38,49,60,71,70,69,68,79,90,91,80,69,58,59,60,49,38,27,16,5
11,11,70,0.0018587675910420448,16,27,38,49,60,71,70,81,92,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,71,70,69,80,91,90,91,80,81,70,59,48,37,26,27,16,5
11,11,70,0.003433994363111574,16,27,38,37,48,59,70,81,92,91,90,79,80,81,82,71,60,49,38,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,60,71,70,69,80,91,90,79,68,69,58,59,60,49,38,27,16,5
11,11,70,0.001458902333516703,16,27,38,37,48,59,70,81,80,79,90,91,80,81,82,71,60,49,38,27,16,5
11,11,70,0.0007246043151519836,16,27,38,49,60,59,70,69,80,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,68,79,90,79,80,69,58,59,48,37,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,49,60,59,70,69,80,91,90,91,80,69,70,59,48,49,38,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,69,80,91,90,91,80,69,58,59,60,49,38,27,16,5
11,11,70,0.000693099779710593,16,27,38,49,48,59,70,69,80,91,90,79,68,57,46,47,36,25,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,48,59,70,69,68,79,90,79,68,69,70,59,60,49,38,27,16,5
11,11,70,0.00038774812850942266,16,27,38,37,48,59,70,69,80,91,90,91,92,81,70,59,48,49,38,27,16,5
11,11,70,0.0025082457062953274,16,27,38,49,60,71,70,81,80,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,70,0.00039501840591897434,16,27,38,37,48,59,70,81,80,91,90,79,68,69,70,59,60,49,38,27,16,5
11,11,70,0.0007512619989870064,16,27,38,49,60,59,70,81,92,91,90,79,68,69,58,59,48,37,38,27,16,5
11,11,70,0.0006858295023010414,16,27,38,37,48,59,70,81,80,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,48,59,70,81,92,91,90,79,68,69,58,47,48,37,26,27,16,5
11,11,70,0.00038290127690305485,16,27,26,37,48,59,70,69,68,79,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00038290127690305485,16,27,38,49,60,71,70,81,80,91,90,79,68,57,46,35,36,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,81,92,91,90,91,92,81,70,59,60,49,38,27,16,5
11,11,70,0.0014661726109262544,16,27,26,37,48,59,70,69,68,79,90,79,68,57,58,59,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,81,92,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.0007439917215774546,16,27,38,49,60,59,70,69,80,79,90,79,68,69,58,59,60,49,38,27,16,5
11,11,70,0.0010808479082200157,16,27,38,49,60,59,70,81,80,91,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,48,59,70,69,68,79,90,79,68,57,58,47,48,49,38,27,16,5
11,11,70,0.0003223156318234576,16,27,38,49,48,59,70,81,92,91,90,79,80,69,70,59,60,49,38,27,16,5
11,11,70,0.00035866701887121596,16,27,38,49,60,59,70,81,80,79,90,79,68,69,58,59,48,49,38,27,16,5
11,11,70,0.0007415682957742708,16,27,26,37,48,59,70,81,80,91,90,91,80,69,58,59,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,80,91,90,79,68,57,58,47,36,25,26,27,16,5
11,11,70,0.00039501840591897434,16,27,38,37,48,59,70,69,80,91,90,91,80,81,70,59,48,49,38,27,16,5
11,11,70,0.00033200933503619315,16,27,26,37,48,59,70,69,80,91,90,79,68,69,70,59,48,49,38,27,16,5
11,11,70,0.0014782897399421738,16,27,38,49,48,59,70,81,80,91,90,79,68,57,58,59,48,49,38,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,48,59,70,81,80,79,90,79,80,69,58,47,36,37,38,27,16,5
11,11,70,0.0015073708495803805,16,27,26,37,48,59,70,69,68,79,90,79,80,69,58,59,60,49,38,27,16,5
11,11,70,0.00039501840591897434,16,27,38,49,60,59,70,69,68,79,90,79,80,69,70,59,48,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,80,79,90,79,80,69,58,47,48,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,68,79,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00035866701887121596,16,27,38,49,48,59,70,69,80,91,90,79,68,57,58,59,48,49,38,27,16,5
11,11,70,0.000693099779710593,16,27,26,37,48,59,70,69,80,91,90,79,80,69,58,47,36,25,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,49,60,59,70,69,80,91,90,91,80,81,70,71,60,49,38,27,16,5
11,11,70,0.0003223156318234576,16,27,38,49,60,71,70,81,80,91,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0003635138704775837,16,27,38,49,60,59,70,81,80,91,90,79,68,57,58,59,48,37,26,27,16,5
