MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20
11,11,70,0.0007561088505933759,3,3,0,3,3,3,3,0,0,3,1,2,2,2,2,1,1,2,2,2,2
11,11,70,0.00036351387047758453,3,0,3,3,3,3,0,3,3,0,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.00036109044467440065,3,3,0,3,3,3,3,3,0,0,2,2,1,2,1,2,1,2,2,2,2
11,11,70,0.0014637491851230739,3,3,3,0,3,3,0,3,3,0,2,1,2,1,1,2,2,2,2,2,2
11,11,70,0.0014177040948625797,3,3,0,3,3,3,0,3,0,3,1,2,1,1,2,2,2,2,2,2,2
11,11,70,0.0007318745925615369,3,3,3,3,3,0,0,0,3,3,1,2,2,2,1,1,2,2,2,2,2
11,11,70,0.0007246043151519852,3,3,0,3,3,3,0,3,3,0,2,2,2,1,1,2,2,1,2,2,2
11,11,70,0.0025761016287844823,3,3,3,3,3,0,0,0,3,3,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,3,3,0,3,3,0,0,2,1,1,2,2,2,2,2,1,2,2
11,11,70,0.0010517667985818113,3,3,3,3,3,0,3,3,0,0,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,0,3,3,3,0,0,3,2,2,2,2,2,2,1,1,1,2,2
11,11,70,0.0010663073534009147,3,3,3,3,0,3,0,0,3,3,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.0003950184059189752,3,3,3,0,3,3,0,0,3,3,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.002617299867438609,3,3,3,3,0,3,3,3,0,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0018926955522866238,3,3,3,0,3,3,3,3,0,0,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.0010784244824168343,3,3,3,3,0,3,3,3,0,0,2,1,2,1,2,2,1,2,2,2,2
11,11,70,0.0007003700571201463,3,3,3,0,3,3,0,0,3,3,2,2,1,1,1,2,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,0,3,3,3,0,0,3,3,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0003829012769030557,3,3,3,0,3,3,0,0,3,3,2,2,1,2,1,2,1,2,2,2,2
11,11,70,0.0007391448699710885,3,3,3,0,3,3,3,0,0,3,1,2,2,1,2,1,2,2,2,2,2
11,11,70,0.00036351387047758453,3,0,3,3,3,3,3,3,0,0,1,2,2,2,2,1,2,2,1,2,2
11,11,70,0.0007633791280029275,3,0,3,3,3,3,3,3,0,0,2,2,2,1,2,2,2,1,1,2,2
11,11,70,0.0007173340377424334,3,3,3,3,0,3,0,0,3,3,2,1,2,2,1,2,1,2,2,2,2
11,11,70,0.0007876133860347666,3,0,3,3,3,3,3,0,3,0,1,2,2,1,1,2,2,2,2,2,2
11,11,70,0.0011099290178582248,3,3,3,3,0,3,3,0,3,0,2,2,1,1,1,2,2,2,2,2,2
11,11,70,0.00036109044467440065,3,0,3,3,3,3,3,0,0,3,1,2,2,2,2,1,2,2,1,2,2
11,11,70,0.0003829012769030557,3,0,3,3,3,3,3,3,0,0,2,1,2,2,1,2,1,2,2,2,2
11,11,70,0.00037563099949350403,3,0,3,3,3,3,0,3,0,3,2,2,1,1,1,2,2,2,2,2,2
11,11,70,0.008886702420275347,3,3,3,0,3,3,3,3,0,0,1,1,1,2,2,2,2,2,2,2,2
11,11,70,0.0007246043151519852,3,0,3,3,3,3,3,0,0,3,1,2,2,2,1,1,2,2,2,2,2
11,11,70,0.000777919682822031,3,3,3,0,3,3,0,0,3,3,1,2,2,2,2,1,1,2,2,2,2
11,11,70,0.00037078414788713627,3,3,0,3,3,3,0,0,3,3,2,2,2,2,1,2,1,1,2,2,2
11,11,70,0.0007342980183647208,3,3,3,3,3,0,3,3,0,0,1,2,2,2,1,1,2,2,2,2,2
11,11,70,0.0003829012769030557,3,0,3,3,3,3,3,0,3,0,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.00036109044467440065,3,0,3,3,3,3,3,0,3,0,1,2,1,2,2,2,2,1,2,2,2
11,11,70,0.0011123524436614087,3,3,3,0,3,3,3,3,0,0,2,2,1,2,2,2,2,1,1,2,2
11,11,70,0.0003877481285094235,3,3,3,0,3,3,0,3,0,3,2,1,2,1,2,2,1,2,2,2,2
11,11,70,0.0023046779388278863,3,3,3,3,3,0,3,3,0,0,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.000399865257525343,3,0,3,3,3,3,3,0,3,0,2,1,2,2,2,2,1,1,2,2,2
11,11,70,0.000683406076497859,3,3,0,3,3,3,0,0,3,3,2,1,2,2,1,1,2,2,2,2,2
11,11,70,0.0007585322763965597,3,3,3,0,3,3,3,0,3,0,2,1,2,1,1,2,2,2,2,2,2
11,11,70,0.0014589023335167062,3,3,0,3,3,3,3,0,0,3,1,2,1,1,2,2,2,2,2,2,2
