MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,51,0.00042417172895426505,105,94,84,74,63,51,41,30,40,50,61,72,84,95,105,116
11,11,51,0.00037872475799487947,105,93,83,73,61,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0018481768190150118,105,95,85,74,63,51,41,30,40,50,61,73,83,95,105,116
11,11,51,0.00038377442143481123,105,94,84,74,63,51,40,30,40,50,61,72,84,94,105,116
11,11,51,0.000681704564390783,105,95,85,73,63,51,41,30,40,50,60,72,83,95,105,116
11,11,51,0.0028126625360419717,105,95,85,74,63,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.0003383274504754257,105,94,82,72,61,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.002014815712532759,105,94,84,74,63,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.023319345765604724,105,95,85,74,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0019188721071740562,105,95,84,74,63,51,41,30,40,50,61,72,83,95,105,116
11,11,51,0.0003383274504754257,105,95,84,73,63,51,40,30,40,51,61,72,83,94,105,116
11,11,51,0.00037872475799487947,105,95,85,74,63,51,41,30,40,52,62,72,83,93,105,116
11,11,51,0.00037872475799487947,105,95,84,72,61,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.03607479561487226,105,95,84,74,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0006211086031116023,105,95,85,73,63,51,41,30,40,50,61,72,82,93,105,116
11,11,51,0.00037872475799487947,105,95,84,73,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0003080294698358353,105,95,85,74,63,51,41,30,40,50,62,73,83,93,105,116
11,11,51,0.0003080294698358353,105,95,85,74,63,51,40,30,40,51,61,71,83,94,105,116
11,11,51,0.001656289608297606,105,95,85,73,63,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.0024339377780470918,105,95,85,73,63,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.00041407240207440163,105,94,84,74,63,51,41,30,40,50,61,71,81,93,105,116
11,11,51,0.0003383274504754257,105,95,85,73,61,51,41,30,40,50,61,73,83,94,105,116
