MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14
11,11,51,0.0004090227386344699,5,2,4,5,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00041407240207440163,2,5,5,2,4,5,2,3,6,3,6,3,3,3,3
11,11,51,0.004893123873293842,5,2,5,2,4,5,2,6,6,7,6,3,3,3,3
11,11,51,0.002731867921003064,5,5,4,5,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.001146273600864502,5,4,2,2,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0003635757676750843,5,5,4,2,2,5,2,6,6,3,6,7,6,7,3
11,11,51,0.000368625431115016,5,5,2,2,4,5,2,6,6,3,6,3,3,7,3
11,11,51,0.00027268182575631325,5,5,2,2,4,2,5,3,6,6,7,6,3,3,3
11,11,51,0.0004090227386344699,5,5,4,5,4,2,5,3,6,6,6,7,3,3,3
11,11,51,0.001883524463094534,2,5,5,2,4,5,2,6,6,3,3,3,7,6,3
11,11,51,0.0024591860952467505,5,5,2,4,2,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0007473501891098955,5,5,2,4,2,5,2,6,6,3,3,3,7,6,3
11,11,51,0.00041912206551433334,5,2,2,5,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.000368625431115016,5,2,4,2,5,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00038882408487474294,5,5,4,4,5,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00032822812359556224,5,5,2,4,2,5,2,3,6,6,7,6,6,7,3
11,11,51,0.00041912206551433334,5,2,5,4,2,5,2,3,6,6,3,3,3,3,3
11,11,51,0.00037872475799487947,5,5,2,2,4,5,2,3,6,7,6,6,3,3,3
11,11,51,0.0029086061414006744,5,5,2,4,2,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00030297980639590354,4,2,5,5,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.004307362914261763,5,5,2,2,4,5,2,3,6,6,3,7,6,3,3
11,11,51,0.0013785581191013614,5,5,2,2,4,2,5,6,6,3,7,6,3,3,3
11,11,51,0.0007725985063095542,5,5,2,2,4,5,2,6,3,3,6,3,6,7,3
11,11,51,0.00027268182575631325,5,5,4,4,5,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0007826978331894176,5,5,2,2,4,5,2,6,3,6,3,7,6,3,3
11,11,51,0.00030297980639590354,2,4,2,5,5,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0038124958971484536,5,5,2,2,4,5,2,3,6,3,6,3,3,3,3
11,11,51,0.002146106961970984,5,2,5,2,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.002014815712532759,2,5,5,2,4,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0016764882620573334,5,5,2,4,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0019188721071740562,5,2,5,2,4,5,2,6,6,3,3,3,7,6,3
11,11,51,0.0011967702352638193,5,2,5,4,2,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00038882408487474294,4,5,5,5,4,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0008331944675887349,2,5,5,4,2,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0003080294698358353,5,5,4,4,5,5,2,6,6,3,6,6,7,7,3
11,11,51,0.000737250862230032,2,5,5,4,2,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00032822812359556224,2,5,5,2,4,5,2,3,6,3,6,6,3,7,3
11,11,51,0.0037165522917897514,5,5,4,2,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0006867542278307149,5,5,2,2,4,5,2,6,3,6,7,3,6,3,3
11,11,51,0.000368625431115016,5,2,5,2,4,2,5,6,3,6,3,6,7,3,3
11,11,51,0.0027015699403634737,5,2,5,2,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0003635757676750843,5,2,4,2,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0006665555740709879,5,5,2,2,4,5,2,6,6,6,3,3,7,3,3
11,11,51,0.00042417172895426505,5,5,2,2,4,5,2,6,3,6,3,7,3,6,3
11,11,51,0.00037872475799487947,5,2,5,2,4,5,2,3,6,6,7,6,6,7,3
11,11,51,0.0007019032181505101,5,5,2,2,4,2,5,6,3,3,6,3,3,3,3
11,11,51,0.0004090227386344699,2,5,2,5,4,2,5,6,6,6,7,3,3,3,3
11,11,51,0.0007725985063095542,5,5,2,2,4,2,5,6,7,6,6,3,3,3,3
11,11,51,0.0006211086031116023,5,5,4,5,4,5,2,6,6,3,3,6,3,7,3
11,11,51,0.00042417172895426505,5,2,2,2,2,2,5,6,6,3,3,6,7,3,3
11,11,51,0.00032822812359556224,5,2,5,2,4,5,2,6,6,6,3,7,7,6,3
11,11,51,0.0003938737483146747,2,5,5,2,4,5,2,3,6,6,3,6,7,3,3
11,11,51,0.0007523998525498273,2,5,5,4,2,5,2,6,6,3,3,3,6,7,3
11,11,51,0.0003080294698358353,2,5,2,5,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.00027268182575631325,5,5,2,4,2,5,2,6,3,3,6,3,3,3,3
11,11,51,0.00034337711391535747,5,5,2,2,4,2,5,6,6,3,7,6,6,7,3
11,11,51,0.00032822812359556224,5,5,2,4,2,5,2,3,6,6,3,6,7,3,3
11,11,51,0.0003484267773552892,5,5,2,2,4,5,2,6,6,3,6,6,7,7,3
11,11,51,0.00038882408487474294,5,5,2,2,4,5,2,3,3,3,6,6,3,3,3
11,11,51,0.0018481768190150118,5,5,2,2,4,5,2,6,6,3,7,6,7,6,3
11,11,51,0.0007170522084703053,5,5,4,5,4,5,2,6,3,6,7,6,3,3,3
11,11,51,0.00037872475799487947,5,2,4,2,5,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0003080294698358353,2,2,4,5,5,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0003635757676750843,2,5,5,2,4,5,2,6,6,3,6,7,6,7,3
11,11,51,0.0018683754727747387,5,5,2,2,4,5,2,6,6,3,7,6,6,7,3
11,11,51,0.0015098493685395864,2,5,5,2,4,2,5,6,6,3,3,3,3,3,3
11,11,51,0.00037872475799487947,5,4,5,2,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00350951609075255,5,5,2,2,4,5,2,6,6,7,6,7,6,3,3
11,11,51,0.0030651457080385584,2,2,5,5,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00042417172895426505,2,5,5,2,4,5,2,6,6,3,3,7,3,6,3
11,11,51,0.0040902273863446985,2,5,5,2,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.0035802113789115938,4,5,5,5,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0007624991794296906,5,5,2,2,4,5,2,3,3,6,6,6,7,3,3
11,11,51,0.004574995076578145,5,5,2,2,4,5,2,6,3,6,7,6,3,3,3
11,11,51,0.00030297980639590354,5,5,2,2,4,5,2,6,3,6,3,6,3,7,3
11,11,51,0.0010907273030252528,5,2,5,2,4,5,2,6,3,6,3,3,6,7,3
