trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
14,P2_1,0.35,0,mIgtI4I,1
15,P1_0,0.7,0,mIgtI4I,1
1,P2_1,0.17,0,o2DZ5jM,0
2,P1_0,0.33,0,o2DZ5jM,0
3,P2_0,0.41,0,o2DZ5jM,0
4,D2_0,1,0,o2DZ5jM,0
5,UN_0,0.18,0,o2DZ5jM,0
6,D1_0,0.69,0,o2DZ5jM,0
7,P1_1,0.34,0,o2DZ5jM,0
8,UN_1,0.32,0,o2DZ5jM,0
9,P1_2,0.68,0,o2DZ5jM,0
10,D1_2,0.41,0,o2DZ5jM,0
11,UN_2,0.71,0,o2DZ5jM,0
12,P2_2,0.81,0,o2DZ5jM,0
13,D2_2,1,0,o2DZ5jM,0
14,D2_1,0.94,0,o2DZ5jM,0
15,D1_1,0.28,0,o2DZ5jM,0
1,UN_1,0.29,0,HNTSnKS,0
2,P2_0,0.6,0,HNTSnKS,0
3,D2_0,0.76,0,HNTSnKS,0
4,UN_0,0.23,0,HNTSnKS,0
5,D1_2,0.54,0,HNTSnKS,0
6,P1_1,0.37,0,HNTSnKS,0
7,D2_2,0.76,0,HNTSnKS,0
8,P2_2,0.62,0,HNTSnKS,0
9,D1_0,0.62,0,HNTSnKS,0
10,UN_2,0.6,0,HNTSnKS,0
11,D1_1,0.27,0,HNTSnKS,0
12,D2_1,0.82,0,HNTSnKS,0
13,P1_2,0.33,0,HNTSnKS,0
14,P2_1,0.79,0,HNTSnKS,0
15,P1_0,0.24,0,HNTSnKS,0
1,D2_1,1,0,d7VQUII,1
2,P1_1,0.61,0,d7VQUII,1
3,D2_2,1,1,d7VQUII,1
4,D1_2,0.54,0,d7VQUII,1
5,D2_0,1,0,d7VQUII,1
6,P1_0,0.51,0,d7VQUII,1
7,D1_0,0.49,0,d7VQUII,1
8,P2_1,0.53,0,d7VQUII,1
9,UN_1,0.3,0,d7VQUII,1
10,P1_2,0.22,0,d7VQUII,1
11,P2_0,0.34,0,d7VQUII,1
12,UN_0,0.16,0,d7VQUII,1
13,P2_2,0.62,0,d7VQUII,1
14,D1_1,0.29,0,d7VQUII,1
15,UN_2,0.4,0,d7VQUII,1
1,UN_0,0.95,0,MatTjC1,0
2,D2_1,0.94,0,MatTjC1,0
3,P2_1,0.38,0,MatTjC1,0
4,UN_1,0.93,0,MatTjC1,0
5,P2_0,0.39,0,MatTjC1,0
6,D2_0,0.6,0,MatTjC1,0
7,P1_0,0.65,0,MatTjC1,0
8,D1_0,0.31,0,MatTjC1,0
9,UN_2,0.5,0,MatTjC1,0
10,P1_2,0.44,0,MatTjC1,0
11,P1_1,0.63,0,MatTjC1,0
12,P2_2,0.63,0,MatTjC1,0
13,D1_1,0.49,0,MatTjC1,0
14,D1_2,0.32,0,MatTjC1,0
15,D2_2,0.77,0,MatTjC1,0
1,P2_0,0.98,0,Y0NsMIn,0
2,P2_1,0.92,0,Y0NsMIn,0
3,D2_2,0.6,0,Y0NsMIn,0
4,D1_2,0.32,0,Y0NsMIn,0
5,UN_0,0.16,0,Y0NsMIn,0
6,P1_1,0.51,0,Y0NsMIn,0
7,D1_0,0.12,0,Y0NsMIn,0
8,D1_1,0.54,0,Y0NsMIn,0
9,UN_2,0.64,0,Y0NsMIn,0
10,P1_2,0.16,0,Y0NsMIn,0
11,P2_2,0.88,0,Y0NsMIn,0
12,P1_0,0.53,0,Y0NsMIn,0
13,D2_0,0.44,0,Y0NsMIn,0
14,UN_1,0.25,0,Y0NsMIn,0
15,D2_1,0.78,0,Y0NsMIn,0
1,D1_1,0.49,0,yrGo2i6,0
2,P1_0,0.41,0,yrGo2i6,0
3,P2_0,0.56,0,yrGo2i6,0
4,D1_0,0.29,0,yrGo2i6,0
5,D2_1,0.94,0,yrGo2i6,0
6,P1_2,0.62,0,yrGo2i6,0
7,P2_2,0.93,0,yrGo2i6,0
8,UN_2,0.56,0,yrGo2i6,0
9,P2_1,0.25,0,yrGo2i6,0
10,UN_0,0.47,0,yrGo2i6,0
11,P1_1,0.45,0,yrGo2i6,0
12,D2_0,0.87,0,yrGo2i6,0
13,UN_1,0.48,0,yrGo2i6,0
14,D1_2,0.48,0,yrGo2i6,0
15,D2_2,0.91,0,yrGo2i6,0
1,D2_0,1,0,nAfLJBK,0
2,UN_0,0,0,nAfLJBK,0
3,D1_1,0,0,nAfLJBK,0
4,P2_0,0.51,0,nAfLJBK,0
5,D2_2,1,0,nAfLJBK,0
6,P2_2,0.5,0,nAfLJBK,0
7,P1_1,0.49,0,nAfLJBK,0
