1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts,age
0.43,0.42,-1,23,UN_UN_0,0.5,0.49,0.51,0,ImtocWB,1,56
-1,-1,-1,1,ND_UN_0,0.79,0.5,0.47,0,EcnlM4j,1,42
0.65,0.42,-1,2,DX_UN_0,0.49,0.68,0.41,0,EcnlM4j,1,42
0.16,0.48,0.6,3,PX_PX_0,0.57,0.65,0.55,0,EcnlM4j,1,42
0.52,0.61,-1,4,UN_PX_0,0.68,0.38,0.67,0,EcnlM4j,1,42
-1,-1,-1,5,ND_NX_0,0.57,0.38,0.55,0,EcnlM4j,1,42
-1,-1,-1,6,ND_DX_1,0.53,0.49,0.32,0,EcnlM4j,1,42
-1,-1,-1,7,ND_PX_0,0.57,0.43,0.47,0,EcnlM4j,1,42
0.49,0.51,-1,8,DX_PX_0,0.47,0.68,0.23,0,EcnlM4j,1,42
0.58,0.56,0.37,9,PX_UN_0,0.37,0.5,0.5,0,EcnlM4j,1,42
-1,-1,-1,10,ND_PX_1,0.66,0.51,0.27,0,EcnlM4j,1,42
0.65,0.55,0.24,11,NX_UN_0,0.49,0.67,0.27,0,EcnlM4j,1,42
0.67,0.5,0.28,12,PX_NX_0,0.46,0.64,0.42,0,EcnlM4j,1,42
0.35,0.53,0.54,13,NX_NX_0,0.49,0.49,0.64,0,EcnlM4j,1,42
0.53,0.53,-1,14,UN_UN_0,0.46,0.5,0.5,0,EcnlM4j,1,42
0.55,0.46,-1,15,UN_NX_0,0.41,0.6,0.49,0,EcnlM4j,1,42
0.46,0.46,0.63,16,NX_PX_0,0.48,0.35,0.54,0,EcnlM4j,1,42
-1,-1,-1,17,ND_DX_0,0.71,0.39,0.52,0,EcnlM4j,1,42
0.47,0.66,-1,18,DX_DX_0,0.46,0.3,0.71,1,EcnlM4j,1,42
0.51,0.68,-1,19,UN_DX_0,0.38,0.44,0.71,0,EcnlM4j,1,42
0.52,0.59,-1,20,DX_NX_0,0.47,0.45,0.62,0,EcnlM4j,1,42
0.51,0.52,0.51,21,NX_DX_0,0.44,0.41,0.67,0,EcnlM4j,1,42
-1,-1,-1,22,ND_NX_1,0.49,0.8,0.43,0,EcnlM4j,1,42
0.44,0.47,0.67,23,PX_DX_0,0.4,0.45,0.76,0,EcnlM4j,1,42
-1,-1,-1,1,ND_DX_0,1,0,0,0,PvCXr0c,1,30
0.49,0.49,0.26,2,NX_PX_0,0.59,0,0.69,0,PvCXr0c,1,30
0.49,0.49,-1,3,UN_UN_0,0.49,0.49,0.5,0,PvCXr0c,1,30
0.48,0.48,-1,4,UN_PX_0,0.69,0,0.47,0,PvCXr0c,1,30
-1,-1,-1,5,ND_UN_0,0.46,0.47,0.47,0,PvCXr0c,1,30
0.45,0.45,-1,6,UN_DX_0,0,0,1,0,PvCXr0c,1,30
-1,-1,-1,7,ND_NX_1,0.59,0.5,0.4,0,PvCXr0c,1,30
0.78,0.25,-1,8,DX_NX_0,0.68,0,0.6,3,PvCXr0c,1,30
-1,-1,-1,9,ND_PX_1,0,1,0,0,PvCXr0c,1,30
0.48,0.48,0.48,10,NX_NX_0,0.47,0.48,0.47,0,PvCXr0c,1,30
0.48,0.48,0.11,11,PX_PX_0,0.48,0,0.58,0,PvCXr0c,1,30
1,0,-1,12,DX_UN_0,0.47,0.48,0.49,0,PvCXr0c,1,30
0.75,0.42,0,13,PX_UN_0,0.46,0.46,0.46,0,PvCXr0c,1,30
-1,-1,-1,14,ND_PX_0,0.89,0,0.21,0,PvCXr0c,1,30
0.46,0.47,-1,15,UN_NX_0,0,0.5,0.51,0,PvCXr0c,1,30
0.89,0.05,-1,16,DX_DX_0,0.1,0.12,0.9,0,PvCXr0c,1,30
0.47,0.47,0,17,PX_NX_0,0.49,0.49,0,0,PvCXr0c,1,30
-1,-1,-1,18,ND_DX_1,1,0,0,0,PvCXr0c,1,30
0.48,0.48,0,19,NX_UN_0,0.45,0.45,0.46,0,PvCXr0c,1,30
0,0,1,20,PX_DX_0,0,0,1,0,PvCXr0c,1,30
0.26,0.72,-1,21,DX_PX_0,0.45,0.68,0.09,0,PvCXr0c,1,30
-1,-1,-1,22,ND_NX_0,0.49,0,0.48,0,PvCXr0c,1,30
0.46,0.47,0,23,NX_DX_0,0,0,1,0,PvCXr0c,1,30
0.83,0.19,-1,1,DX_UN_0,0.72,0.5,0.04,0,RR7iyQa,1,31
-1,-1,-1,2,ND_PX_0,0.84,0.5,0.1,0,RR7iyQa,1,31
0.51,0.51,0.05,3,PX_NX_0,0.55,0.51,0,0,RR7iyQa,1,31
0.49,0.47,0.49,4,NX_DX_0,0.45,0.46,0.46,0,RR7iyQa,1,31
0.54,0.51,-1,5,DX_NX_0,0.71,0.1,0.53,0,RR7iyQa,1,31
0.71,0.44,0.11,6,NX_UN_0,0.18,0.78,0.16,0,RR7iyQa,1,31
-1,-1,-1,7,ND_NX_1,0.42,0.43,0.03,0,RR7iyQa,1,31
-1,-1,-1,8,ND_DX_0,0.84,0.48,0.02,0,RR7iyQa,1,31
-1,-1,-1,9,ND_NX_0,0.47,0.06,0.49,0,RR7iyQa,1,31
0.21,0.73,-1,10,DX_DX_0,0.17,0.17,0.77,0,RR7iyQa,1,31
0.86,0.08,0.55,11,NX_PX_0,0.51,0.02,0.51,0,RR7iyQa,1,31
-1,-1,-1,12,ND_PX_1,0.24,0.91,0.06,0,RR7iyQa,1,31
0.55,0.01,0.51,13,PX_DX_0,0.48,0.05,0.46,0,RR7iyQa,1,31
0.71,0.05,-1,14,UN_NX_0,0.09,0.74,0.73,0,RR7iyQa,1,31
0.79,0.5,-1,15,DX_PX_0,0.7,0.21,0.4,0,RR7iyQa,1,31
0.5,0.5,-1,16,UN_DX_0,0.46,0.02,0.87,0,RR7iyQa,1,31
